id,nombre,descripcion,ph_min,ph_max,humedad_min,humedad_max,altitud_min,altitud_max,temp_min,temp_max
751,Pasto Mulato II,Híbrido resistente y nutritivo,4.88,6.76,48.3,77.5,0,2140,20.8,36.9
752,Pasto Humidícola,Ideal para terrenos inundables,4.6,6.65,73.5,97.5,0,1216,22.2,33.2
753,Pasto Rhodes,Muy usado en sistemas ganaderos,4.81,6.86,42.5,76.2,41,2153,19.2,36.8
754,Pasto Buffel,Excelente resistencia a sequía,5.12,7.57,32.6,65.2,0,1735,24.9,39.0
755,Soja Forrajera,Fuente rica en proteína vegetal,5.99,7.21,52.9,74.2,0,1737,19.0,31.1
756,Vicia,Leguminosa usada en mezcla con gramíneas,6.07,7.58,56.1,79.4,1120,3031,9.8,23.3
757,Cebada Forrajera,Excelente para climas templados,6.19,7.68,51.4,74.6,1433,3274,7.5,20.9
758,Festuca,Gramínea perenne para clima frío,5.45,6.95,57.0,84.7,1835,3171,8.0,21.0
759,Dactylis Glomerata,Pasto resistente al frío,5.51,7.11,53.2,82.5,1881,3238,8.3,19.5
760,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.37,7.67,51.3,76.1,1599,3134,10.7,23.1
761,Pasto Sudan,Híbrido de rápido crecimiento,5.15,7.07,42.2,71.8,0,1739,21.6,37.8
762,Arachis Pintoi,Leguminosa rastrera tropical,4.86,6.99,54.9,82.2,99,1723,20.1,33.0
763,Calliandra,Arbusto forrajero rico en proteína,5.43,7.49,51.6,78.4,63,2531,17.6,30.7
764,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.05,7.11,46.3,75.0,55,1749,22.9,35.4
765,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.14,7.19,56.6,82.4,91,2223,17.2,32.6
766,Pasto Elefante,Forraje tropical de alta producción,5.66,7.04,58.8,82.3,48,1773,19.6,35.5
767,Alfalfa,Leguminosa rica en proteína para ganado,5.86,7.45,52.7,70.7,1061,3148,15.0,27.7
768,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.63,6.58,39.4,73.9,0,2005,21.2,36.5
769,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.12,6.76,44.8,77.4,0,2106,20.8,34.7
770,Pasto Guinea,Pasto tropical de rápido crecimiento,5.05,6.82,54.2,80.9,80,1886,21.5,33.1
771,Pasto Kikuyo,Muy usado en lechería de clima frío,5.42,6.99,64.4,91.3,1804,3239,9.0,22.5
772,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.92,7.3,66.6,82.4,1795,3228,7.6,20.9
773,Ray Grass Italiano,Forraje de alta digestibilidad,5.67,6.93,62.6,84.6,1401,3015,9.4,21.9
774,Maíz Forrajero,Utilizado principalmente para ensilaje,5.52,6.8,56.6,82.4,0,2473,17.2,32.6
775,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.02,6.82,46.4,67.7,0,2279,19.8,37.8
776,Avena Forrajera,Excelente producción en clima frío,5.99,7.33,58.5,84.9,1481,3215,7.2,19.2
777,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.07,7.68,54.7,76.4,1274,2739,12.3,24.1
778,Trébol Rojo,Forraje de buena calidad nutricional,5.83,7.13,52.4,77.2,1258,2976,9.6,23.9
779,Canavalia,Leguminosa usada como cobertura y forraje,5.48,7.6,48.1,82.3,1,1759,20.5,31.8
780,Leucaena,Árbol forrajero rico en proteína,5.58,7.38,46.7,76.0,27,1751,22.0,34.0
781,Botón de Oro,Forraje arbustivo de alta proteína,4.85,6.82,49.4,83.4,96,2466,18.1,30.1
782,King Grass,Variedad de pasto de gran rendimiento,5.63,6.94,57.0,84.0,19,1707,21.1,34.1
783,Pasto Estrella,Pasto tropical resistente al pastoreo,5.09,6.71,47.9,81.4,0,2011,22.8,36.7
784,Pasto Tanner,Pasto adaptado a suelos húmedos,4.86,6.65,70.1,90.7,0,1469,22.2,34.1
785,Pasto Pangola,Excelente digestibilidad para bovinos,5.02,6.95,54.9,78.3,95,1819,19.2,35.9
786,Moringa,Árbol forrajero con alto contenido nutricional,5.14,7.31,42.9,68.9,0,1574,24.0,38.6
787,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.96,6.89,47.8,77.4,0,2016,20.3,34.9
788,Pennisetum Purpureum,Pasto tropical para corte,5.38,7.02,62.8,86.2,30,1766,22.5,35.0
789,Maralfalfa,Pasto híbrido de alta producción,5.48,6.94,59.7,83.3,20,1933,19.7,34.6
790,Caña Forrajera,Utilizada como suplemento energético,4.91,7.7,53.7,77.8,0,1800,21.1,35.5
791,Centrosema,Leguminosa tropical rastrera,4.92,6.61,52.6,86.2,62,1896,20.6,34.3
792,Desmodium,Leguminosa de buena digestibilidad,5.35,6.99,48.0,82.6,20,2180,18.7,32.0
793,Guandul,Leguminosa arbustiva resistente,5.01,7.6,42.2,75.5,77,1911,20.2,35.5
794,Caupí Forrajero,Leguminosa anual tropical,4.9,6.87,49.4,76.7,53,1798,22.7,34.5
795,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.18,6.97,46.7,77.1,96,2120,19.9,35.2
796,Pasto Alemán,Forraje adaptado a zonas húmedas,4.82,6.33,70.6,97.2,0,1279,21.1,33.3
797,Pasto Jaragua,Muy resistente a altas temperaturas,4.73,6.65,42.3,70.1,0,1862,23.4,38.5
798,Pasto Angleton,Forraje tropical para pastoreo,4.88,6.92,46.5,76.8,11,1722,22.3,35.3
799,Pasto Toledo,Variedad mejorada de brachiaria,5.05,6.92,49.8,82.9,13,2115,19.5,35.9
800,Pasto Mombasa,Alta producción de biomasa,5.14,7.03,55.4,78.9,0,1733,22.2,34.2
801,Pasto Tanzania,Excelente calidad nutricional,4.9,7.07,54.2,78.0,61,1761,22.6,34.8
802,Pasto Mulato II,Híbrido resistente y nutritivo,4.86,6.99,51.5,79.8,0,2133,20.9,36.9
803,Pasto Humidícola,Ideal para terrenos inundables,4.33,6.43,73.2,93.7,4,1262,22.2,33.9
804,Pasto Rhodes,Muy usado en sistemas ganaderos,4.98,7.13,43.5,74.7,0,2213,20.9,36.7
805,Pasto Buffel,Excelente resistencia a sequía,4.94,7.54,36.1,62.3,0,1889,24.6,39.9
806,Soja Forrajera,Fuente rica en proteína vegetal,5.71,7.02,52.1,74.0,18,1819,19.5,31.6
807,Vicia,Leguminosa usada en mezcla con gramíneas,6.09,7.44,52.0,77.1,1160,2985,10.2,23.3
808,Cebada Forrajera,Excelente para climas templados,5.95,7.58,47.5,77.3,1572,3158,7.4,20.1
809,Festuca,Gramínea perenne para clima frío,5.46,7.12,62.5,84.1,1701,3220,7.9,20.4
810,Dactylis Glomerata,Pasto resistente al frío,5.51,7.02,52.9,78.0,1736,3281,8.4,20.2
811,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.36,7.59,49.6,72.0,1541,3298,10.7,23.9
812,Pasto Sudan,Híbrido de rápido crecimiento,5.16,6.81,44.7,67.0,0,1839,21.0,37.5
813,Arachis Pintoi,Leguminosa rastrera tropical,4.91,6.74,54.9,82.8,3,1842,20.0,33.7
814,Calliandra,Arbusto forrajero rico en proteína,5.42,7.34,48.4,78.7,7,2525,18.1,29.2
815,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.19,6.83,44.2,75.3,0,1868,21.7,35.7
816,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,4.92,6.84,57.5,86.3,89,2236,17.9,31.5
817,Pasto Elefante,Forraje tropical de alta producción,5.59,7.17,61.0,82.1,100,1900,20.1,35.0
818,Alfalfa,Leguminosa rica en proteína para ganado,5.95,7.67,52.7,70.3,1063,3121,14.0,28.0
819,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.57,6.69,37.9,76.1,0,2030,21.3,35.4
820,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.94,6.84,46.4,78.2,0,2139,19.5,35.3
821,Pasto Guinea,Pasto tropical de rápido crecimiento,4.81,6.94,53.8,82.3,69,1711,21.7,33.9
822,Pasto Kikuyo,Muy usado en lechería de clima frío,5.4,6.97,63.6,89.0,1701,3252,10.5,21.7
823,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.76,7.06,65.4,82.4,1831,3243,7.0,19.1
824,Ray Grass Italiano,Forraje de alta digestibilidad,5.79,7.16,59.2,82.1,1523,3033,9.6,22.6
825,Maíz Forrajero,Utilizado principalmente para ensilaje,5.45,7.11,56.3,80.9,0,2456,17.6,31.6
826,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.1,7.02,42.2,67.0,85,2278,19.9,38.3
827,Avena Forrajera,Excelente producción en clima frío,5.93,7.26,62.6,83.2,1571,3168,8.7,20.2
828,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.11,7.38,57.0,73.4,1144,2803,11.3,23.7
829,Trébol Rojo,Forraje de buena calidad nutricional,5.96,7.39,52.8,76.0,1287,2927,10.6,23.7
830,Canavalia,Leguminosa usada como cobertura y forraje,5.33,7.69,52.6,78.5,91,1748,19.9,31.1
831,Leucaena,Árbol forrajero rico en proteína,5.37,7.43,47.7,72.4,1,1817,22.8,35.3
832,Botón de Oro,Forraje arbustivo de alta proteína,5.17,7.04,50.8,85.6,0,2553,18.2,29.8
833,King Grass,Variedad de pasto de gran rendimiento,5.35,6.87,57.7,82.1,0,1840,22.5,35.3
834,Pasto Estrella,Pasto tropical resistente al pastoreo,4.95,6.95,49.3,77.9,0,2100,21.3,35.3
835,Pasto Tanner,Pasto adaptado a suelos húmedos,4.69,6.67,67.4,88.7,0,1577,22.9,34.5
836,Pasto Pangola,Excelente digestibilidad para bovinos,4.87,6.86,53.1,82.0,84,1858,20.5,34.3
837,Moringa,Árbol forrajero con alto contenido nutricional,4.82,7.59,40.2,69.3,0,1570,23.1,38.0
838,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.99,6.86,50.1,77.3,0,1913,19.6,34.2
839,Pennisetum Purpureum,Pasto tropical para corte,5.5,7.13,59.1,82.4,45,1885,21.9,35.4
840,Maralfalfa,Pasto híbrido de alta producción,5.54,6.99,57.2,82.0,0,2040,20.1,34.6
841,Caña Forrajera,Utilizada como suplemento energético,5.08,7.32,55.2,78.8,0,1755,21.5,36.8
842,Centrosema,Leguminosa tropical rastrera,5.1,6.67,57.9,84.8,90,1742,19.8,34.0
843,Desmodium,Leguminosa de buena digestibilidad,5.64,7.11,47.0,78.2,0,2196,18.8,32.8
844,Guandul,Leguminosa arbustiva resistente,4.89,7.64,44.8,74.9,0,1928,19.9,34.9
845,Caupí Forrajero,Leguminosa anual tropical,5.02,6.88,50.3,77.1,0,1794,22.7,33.5
846,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.01,7.0,43.5,78.5,96,2133,20.1,35.0
847,Pasto Alemán,Forraje adaptado a zonas húmedas,5.18,6.47,68.2,96.7,43,1254,22.7,33.8
848,Pasto Jaragua,Muy resistente a altas temperaturas,4.79,6.88,39.1,67.2,0,1743,24.8,38.2
849,Pasto Angleton,Forraje tropical para pastoreo,4.82,6.9,46.3,75.8,42,1885,22.8,36.0
850,Pasto Toledo,Variedad mejorada de brachiaria,4.83,6.63,50.7,80.1,0,2105,20.9,34.7
851,Pasto Mombasa,Alta producción de biomasa,5.08,6.81,56.1,78.5,68,1703,22.5,34.1
852,Pasto Tanzania,Excelente calidad nutricional,4.96,7.14,56.8,81.1,59,1722,22.8,35.1
853,Pasto Mulato II,Híbrido resistente y nutritivo,4.96,6.71,47.7,77.6,0,2241,20.8,35.3
854,Pasto Humidícola,Ideal para terrenos inundables,4.47,6.45,75.2,95.0,51,1179,21.3,34.5
855,Pasto Rhodes,Muy usado en sistemas ganaderos,4.96,6.85,43.2,77.3,0,2112,19.0,36.4
856,Pasto Buffel,Excelente resistencia a sequía,5.12,7.37,36.6,62.7,0,1809,23.7,39.1
857,Soja Forrajera,Fuente rica en proteína vegetal,5.95,7.07,48.9,72.3,80,1749,20.2,32.6
858,Vicia,Leguminosa usada en mezcla con gramíneas,6.04,7.59,52.2,80.7,1135,3070,9.2,24.3
859,Cebada Forrajera,Excelente para climas templados,5.83,7.39,51.9,75.2,1547,3292,7.4,20.1
860,Festuca,Gramínea perenne para clima frío,5.54,6.92,58.2,82.9,1743,3231,7.2,20.2
861,Dactylis Glomerata,Pasto resistente al frío,5.61,7.1,56.6,77.5,1782,3266,7.7,20.6
862,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.54,7.3,52.0,72.1,1566,3218,9.4,24.6
863,Pasto Sudan,Híbrido de rápido crecimiento,4.96,7.1,43.3,68.8,99,1728,21.7,38.7
864,Arachis Pintoi,Leguminosa rastrera tropical,4.88,6.97,55.0,85.1,75,1797,19.7,34.5
865,Calliandra,Arbusto forrajero rico en proteína,5.44,7.5,47.7,79.7,96,2584,17.7,30.5
866,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.04,7.1,47.2,77.9,0,1802,22.7,36.2
867,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.2,6.88,57.7,84.1,0,2211,18.2,32.4
868,Pasto Elefante,Forraje tropical de alta producción,5.43,7.16,61.7,79.4,84,1707,20.2,35.6
869,Alfalfa,Leguminosa rica en proteína para ganado,5.87,7.68,47.4,71.8,917,3215,14.1,28.4
870,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.6,6.58,37.3,78.0,0,2073,21.3,35.9
871,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.83,6.63,42.3,79.5,27,2219,21.0,35.8
872,Pasto Guinea,Pasto tropical de rápido crecimiento,4.94,6.83,54.2,79.5,1,1726,21.8,34.1
873,Pasto Kikuyo,Muy usado en lechería de clima frío,5.49,6.84,64.1,89.3,1856,3151,9.8,22.4
874,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.91,7.01,63.9,85.6,1742,3204,8.2,20.3
875,Ray Grass Italiano,Forraje de alta digestibilidad,5.64,7.19,58.4,83.1,1412,3037,10.5,22.7
876,Maíz Forrajero,Utilizado principalmente para ensilaje,5.64,7.07,52.5,81.1,84,2512,17.7,32.3
877,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.16,7.07,47.9,70.8,32,2196,20.1,38.2
878,Avena Forrajera,Excelente producción en clima frío,5.95,7.29,59.9,85.1,1520,3229,8.0,19.9
879,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.05,7.39,54.5,74.3,1263,2868,12.2,24.6
880,Trébol Rojo,Forraje de buena calidad nutricional,6.01,7.34,47.4,77.2,1268,2916,9.4,24.9
881,Canavalia,Leguminosa usada como cobertura y forraje,5.45,7.35,48.8,77.0,89,1735,19.9,31.0
882,Leucaena,Árbol forrajero rico en proteína,5.56,7.57,42.6,74.2,63,1717,21.2,34.9
883,Botón de Oro,Forraje arbustivo de alta proteína,5.16,7.08,49.0,86.3,0,2450,18.7,29.2
884,King Grass,Variedad de pasto de gran rendimiento,5.62,6.86,59.0,85.7,87,1701,21.6,35.0
885,Pasto Estrella,Pasto tropical resistente al pastoreo,5.03,6.84,52.5,82.2,77,2053,21.4,35.9
886,Pasto Tanner,Pasto adaptado a suelos húmedos,4.91,6.31,71.4,89.5,0,1524,21.3,34.1
887,Pasto Pangola,Excelente digestibilidad para bovinos,5.15,6.87,57.9,80.2,0,1749,20.8,34.2
888,Moringa,Árbol forrajero con alto contenido nutricional,4.87,7.45,41.9,70.7,0,1415,24.6,37.5
889,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.93,6.86,50.2,75.1,95,2065,20.7,34.0
890,Pennisetum Purpureum,Pasto tropical para corte,5.41,6.86,57.8,82.3,0,1871,22.7,34.6
891,Maralfalfa,Pasto híbrido de alta producción,5.46,6.98,60.2,86.1,0,1925,20.8,34.9
892,Caña Forrajera,Utilizada como suplemento energético,4.86,7.47,56.1,77.4,0,1783,22.7,36.3
893,Centrosema,Leguminosa tropical rastrera,4.89,6.61,55.6,86.8,34,1757,19.6,33.1
894,Desmodium,Leguminosa de buena digestibilidad,5.47,7.06,52.0,82.5,0,2178,18.4,32.8
895,Guandul,Leguminosa arbustiva resistente,4.95,7.43,42.6,75.1,0,2094,20.2,35.3
896,Caupí Forrajero,Leguminosa anual tropical,4.94,7.02,52.7,75.2,0,1730,22.9,34.3
897,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.16,7.0,43.1,78.0,0,2219,19.9,35.7
898,Pasto Alemán,Forraje adaptado a zonas húmedas,4.89,6.38,71.9,96.1,0,1178,22.7,34.4
899,Pasto Jaragua,Muy resistente a altas temperaturas,4.88,6.68,37.2,72.6,63,1797,23.9,38.7
900,Pasto Angleton,Forraje tropical para pastoreo,5.14,6.69,42.7,74.9,0,1740,22.9,36.2
901,Pasto Toledo,Variedad mejorada de brachiaria,4.99,6.6,49.7,80.3,39,2231,20.0,34.8
902,Pasto Mombasa,Alta producción de biomasa,5.19,6.82,57.0,80.5,36,1825,22.3,35.5
903,Pasto Tanzania,Excelente calidad nutricional,4.85,6.84,52.7,78.1,0,1710,22.9,35.9
904,Pasto Mulato II,Híbrido resistente y nutritivo,4.81,6.61,48.1,78.2,0,2167,20.3,35.5
905,Pasto Humidícola,Ideal para terrenos inundables,4.38,6.69,72.4,96.5,86,1181,22.3,34.7
906,Pasto Rhodes,Muy usado en sistemas ganaderos,4.84,6.89,46.4,76.0,0,2153,20.2,36.0
907,Pasto Buffel,Excelente resistencia a sequía,5.17,7.55,35.8,65.1,0,1798,23.1,39.1
908,Soja Forrajera,Fuente rica en proteína vegetal,5.94,7.1,52.8,74.4,27,1843,19.0,31.7
909,Vicia,Leguminosa usada en mezcla con gramíneas,5.99,7.61,52.6,81.1,1284,2945,10.5,23.9
910,Cebada Forrajera,Excelente para climas templados,5.9,7.69,51.1,75.6,1468,3165,8.7,19.8
911,Festuca,Gramínea perenne para clima frío,5.6,6.81,60.5,85.7,1775,3293,7.4,20.9
912,Dactylis Glomerata,Pasto resistente al frío,5.62,7.16,52.1,80.1,1728,3283,7.1,21.0
913,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.6,7.59,47.7,77.9,1583,3184,10.3,24.5
914,Pasto Sudan,Híbrido de rápido crecimiento,5.11,7.19,45.2,67.6,10,1870,22.2,38.1
915,Arachis Pintoi,Leguminosa rastrera tropical,5.0,6.73,57.3,82.8,0,1887,19.2,34.1
916,Calliandra,Arbusto forrajero rico en proteína,5.51,7.52,48.0,78.9,0,2481,18.0,29.9
917,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.01,6.91,42.8,76.9,0,1833,21.2,36.7
918,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.13,7.06,52.5,86.9,0,2124,17.4,32.8
919,Pasto Elefante,Forraje tropical de alta producción,5.45,6.93,62.3,82.8,36,1769,20.5,34.4
920,Alfalfa,Leguminosa rica en proteína para ganado,5.9,7.69,47.0,71.4,933,3188,15.3,27.1
921,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.6,6.62,39.7,72.6,10,2078,21.0,36.3
922,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.94,6.96,45.6,82.2,95,2171,19.1,35.0
923,Pasto Guinea,Pasto tropical de rápido crecimiento,5.12,7.02,53.5,79.3,24,1830,21.4,34.6
924,Pasto Kikuyo,Muy usado en lechería de clima frío,5.32,6.93,63.4,90.5,1768,3185,10.3,21.2
925,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.95,7.27,63.8,87.5,1900,3243,7.0,20.6
926,Ray Grass Italiano,Forraje de alta digestibilidad,5.76,7.05,62.2,82.9,1580,3013,9.7,22.4
927,Maíz Forrajero,Utilizado principalmente para ensilaje,5.52,6.88,56.3,80.7,0,2584,17.0,32.1
928,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.98,6.86,45.9,71.5,0,2193,20.9,37.7
929,Avena Forrajera,Excelente producción en clima frío,5.85,7.17,58.7,82.7,1466,3256,8.2,19.3
930,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.04,7.47,55.8,74.1,1158,2779,12.9,24.3
931,Trébol Rojo,Forraje de buena calidad nutricional,5.95,7.1,49.5,72.6,1277,3059,10.0,23.8
932,Canavalia,Leguminosa usada como cobertura y forraje,5.42,7.61,48.4,81.5,0,1730,19.9,31.2
933,Leucaena,Árbol forrajero rico en proteína,5.69,7.35,42.0,77.3,31,1770,22.2,35.5
934,Botón de Oro,Forraje arbustivo de alta proteína,4.84,7.03,52.2,84.9,82,2475,18.9,30.5
935,King Grass,Variedad de pasto de gran rendimiento,5.64,7.12,60.4,83.0,0,1831,22.6,35.3
936,Pasto Estrella,Pasto tropical resistente al pastoreo,4.94,6.84,47.2,80.5,0,1991,22.2,35.7
937,Pasto Tanner,Pasto adaptado a suelos húmedos,4.6,6.63,71.7,91.8,0,1536,21.9,34.3
938,Pasto Pangola,Excelente digestibilidad para bovinos,5.1,6.85,53.7,82.7,0,1808,20.1,36.0
939,Moringa,Árbol forrajero con alto contenido nutricional,5.07,7.66,38.8,70.5,55,1495,24.8,37.7
940,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.14,6.88,52.6,76.4,0,1901,20.9,34.2
941,Pennisetum Purpureum,Pasto tropical para corte,5.34,6.87,59.4,86.6,0,1806,23.0,34.3
942,Maralfalfa,Pasto híbrido de alta producción,5.41,7.05,58.2,85.6,90,2081,19.1,34.7
943,Caña Forrajera,Utilizada como suplemento energético,4.86,7.48,53.9,81.9,30,1882,22.5,36.6
944,Centrosema,Leguminosa tropical rastrera,5.11,6.66,57.8,85.4,0,1820,20.8,33.8
945,Desmodium,Leguminosa de buena digestibilidad,5.3,7.14,50.4,82.6,0,2124,18.9,31.9
946,Guandul,Leguminosa arbustiva resistente,5.17,7.36,44.5,73.9,0,1985,20.7,35.2
947,Caupí Forrajero,Leguminosa anual tropical,4.84,7.02,49.9,76.3,0,1841,22.9,33.4
948,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.08,6.92,47.4,78.3,0,2184,20.6,36.3
949,Pasto Alemán,Forraje adaptado a zonas húmedas,4.87,6.62,72.0,96.3,93,1290,22.2,33.9
950,Pasto Jaragua,Muy resistente a altas temperaturas,4.81,6.97,40.3,67.3,0,1781,23.8,37.3
951,Pasto Angleton,Forraje tropical para pastoreo,4.86,6.66,47.2,77.2,0,1880,22.6,36.7
952,Pasto Toledo,Variedad mejorada de brachiaria,4.96,6.6,47.4,80.5,0,2255,20.6,35.2
953,Pasto Mombasa,Alta producción de biomasa,4.99,6.95,56.7,77.2,0,1807,21.1,36.0
954,Pasto Tanzania,Excelente calidad nutricional,4.89,7.17,57.3,82.3,56,1815,22.7,35.2
955,Pasto Mulato II,Híbrido resistente y nutritivo,4.91,6.92,51.9,77.3,9,2182,20.2,36.1
956,Pasto Humidícola,Ideal para terrenos inundables,4.57,6.32,74.7,93.7,18,1289,22.6,34.9
957,Pasto Rhodes,Muy usado en sistemas ganaderos,4.83,7.18,45.5,75.8,0,2220,20.2,36.8
958,Pasto Buffel,Excelente resistencia a sequía,5.12,7.38,33.3,63.0,60,1865,24.7,39.2
959,Soja Forrajera,Fuente rica en proteína vegetal,5.68,7.27,49.4,75.8,55,1861,20.3,32.0
960,Vicia,Leguminosa usada en mezcla con gramíneas,6.18,7.43,54.3,77.1,1215,2986,9.4,24.9
961,Cebada Forrajera,Excelente para climas templados,5.89,7.42,52.1,74.2,1488,3233,8.3,20.4
962,Festuca,Gramínea perenne para clima frío,5.58,7.01,57.1,84.7,1878,3173,8.3,19.1
963,Dactylis Glomerata,Pasto resistente al frío,5.53,7.1,57.3,79.1,1750,3198,7.4,19.5
964,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.3,7.54,52.2,76.9,1450,3265,10.3,23.9
965,Pasto Sudan,Híbrido de rápido crecimiento,4.95,6.92,47.9,69.6,0,1802,22.1,38.2
966,Arachis Pintoi,Leguminosa rastrera tropical,5.04,6.75,54.8,82.8,0,1871,19.1,33.4
967,Calliandra,Arbusto forrajero rico en proteína,5.54,7.68,52.3,77.3,9,2446,18.3,30.0
968,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.81,6.9,43.1,76.0,0,1882,22.8,35.6
969,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,4.99,6.83,55.3,85.7,0,2297,18.8,31.7
970,Pasto Elefante,Forraje tropical de alta producción,5.67,6.99,57.8,82.8,0,1820,19.0,35.4
971,Alfalfa,Leguminosa rica en proteína para ganado,5.98,7.67,48.3,71.4,1092,3264,15.5,29.0
972,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.4,6.54,38.9,77.2,0,1953,22.1,36.3
973,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.1,6.94,42.2,81.2,8,2291,20.8,35.3
974,Pasto Guinea,Pasto tropical de rápido crecimiento,5.08,7.14,56.3,80.7,56,1754,22.1,34.4
975,Pasto Kikuyo,Muy usado en lechería de clima frío,5.6,6.97,64.2,88.1,1875,3140,10.5,21.2
976,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.62,7.29,64.7,82.3,1756,3148,7.8,19.0
977,Ray Grass Italiano,Forraje de alta digestibilidad,5.93,6.86,58.7,84.3,1433,3042,10.2,22.6
978,Maíz Forrajero,Utilizado principalmente para ensilaje,5.65,7.18,57.6,81.2,0,2434,17.7,32.6
979,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.12,6.99,45.9,71.8,7,2191,20.8,37.7
980,Avena Forrajera,Excelente producción en clima frío,5.89,7.15,57.5,86.5,1519,3291,7.9,20.3
981,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.99,7.6,54.8,72.6,1212,2814,12.7,23.5
982,Trébol Rojo,Forraje de buena calidad nutricional,6.12,7.01,51.6,77.1,1218,2908,10.4,23.6
983,Canavalia,Leguminosa usada como cobertura y forraje,5.34,7.65,50.1,82.8,0,1770,20.4,31.5
984,Leucaena,Árbol forrajero rico en proteína,5.6,7.69,46.3,73.6,65,1823,23.0,35.8
985,Botón de Oro,Forraje arbustivo de alta proteína,4.99,7.13,48.3,84.0,0,2581,18.1,30.5
986,King Grass,Variedad de pasto de gran rendimiento,5.53,7.02,61.0,86.6,0,1894,22.4,34.4
987,Pasto Estrella,Pasto tropical resistente al pastoreo,5.0,6.97,50.4,78.8,71,1915,22.3,36.0
988,Pasto Tanner,Pasto adaptado a suelos húmedos,4.88,6.68,72.4,92.4,0,1422,21.4,33.2
989,Pasto Pangola,Excelente digestibilidad para bovinos,5.12,7.09,57.7,82.8,0,1864,19.6,34.3
990,Moringa,Árbol forrajero con alto contenido nutricional,5.06,7.48,38.1,69.2,71,1439,24.5,37.5
991,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.87,6.9,48.5,73.5,9,1957,20.2,34.8
992,Pennisetum Purpureum,Pasto tropical para corte,5.61,6.94,57.2,86.6,0,1844,21.1,34.5
993,Maralfalfa,Pasto híbrido de alta producción,5.69,7.04,57.0,84.5,0,1906,19.5,34.4
994,Caña Forrajera,Utilizada como suplemento energético,5.14,7.46,54.0,83.0,0,1801,22.5,36.1
995,Centrosema,Leguminosa tropical rastrera,4.95,6.93,52.6,85.6,0,1766,19.5,33.6
996,Desmodium,Leguminosa de buena digestibilidad,5.6,6.87,50.1,78.2,65,2188,18.0,32.9
997,Guandul,Leguminosa arbustiva resistente,4.96,7.49,48.0,75.2,88,1980,19.3,35.8
998,Caupí Forrajero,Leguminosa anual tropical,5.15,7.12,51.6,72.3,0,1829,21.8,34.9
999,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.15,7.15,46.6,77.1,75,2254,19.7,36.1
1000,Pasto Alemán,Forraje adaptado a zonas húmedas,5.14,6.36,69.7,97.5,0,1297,22.1,33.8
